f1,f2,f3,f4,f5,label
0.097844556509544,0.8253994241088549,0.9442367741779624,0.4012170024599382,0.1580881032144995,1
0.6640844621058646,0.1050673499975933,0.4606918619501683,0.9102461927411052,0.3795248607719976,0
0.3854090754900577,0.6924906956603375,0.686577377940956,0.2816830779399515,0.4164213447857885,1
0.0463056107847028,0.1820355604320637,0.9072320747559504,0.6358951018291528,0.9177540596691494,1
0.9515581870539376,0.8619214555174829,0.9245235112235176,0.5202032975978159,0.8164491288235106,1
0.119587201626596,0.0960391053105637,0.2907344142826662,0.1930996373612939,0.6645755212413723,0
0.2368768140860833,0.2059293383420581,0.299002151586505,0.6138450688527981,0.0062302352791283,0
0.0656635622091551,0.5399468583598367,0.1576694168371988,0.4936675181978552,0.7780651466997894,0
0.5437872821771871,0.1377974689655022,0.795948570803941,0.9928166041910664,0.2675310307436221,1
0.0417432959581445,0.2149666835370424,0.1868517284016845,0.8526209683581862,0.7453488074904627,0
0.0714127598087852,0.3691484129236291,0.830282363579373,0.4199520619263138,0.7036959646737786,1
0.6932895991793688,0.8959953713962904,0.3594564780390408,0.6371083474070366,0.9790239641585672,1
0.930589990451996,0.644838496445827,0.7176477632125138,0.5181890789888745,0.3115456715467177,1
0.193784461715946,0.0104156678643542,0.4193437362567962,0.7983843826751006,0.0046008269333753,0
0.3448507528650983,0.5212214111251519,0.4525910130680445,0.0186336670177822,0.2556277197481085,0
0.0891154705552538,0.7303268214790991,0.0381821240943008,0.4348588818753895,0.6269811686456721,0
0.6388486883214748,0.7588512411607191,0.2686383880343936,0.8760959040368215,0.8169272939404977,1
0.8128099830334119,0.2025910675320856,0.863200557905502,0.3121705326686602,0.1219231866297451,1
0.0838154126256638,0.0750629788701487,0.9928437395833176,0.2349186159760916,0.320931476335215,0
0.5929824402936177,0.178184925849745,0.1769018956973836,0.1818432046331258,0.4096013438966759,0
0.3858760082816581,0.995446825246122,0.9295234540106996,0.0516249040376913,0.4259648549904752,1
0.3009568505171985,0.5952899108010217,0.6119765192485173,0.8860898213891565,0.3174377923454582,1
0.3152301573756928,0.6594013906871234,0.7367131444163889,0.6314195452743595,0.0177795543189769,1
0.0966361811443449,0.9867823189342326,0.9962521434029882,0.5411161296384115,0.202038061228382,1
0.9432046276178986,0.8245378826786929,0.4945463349437008,0.7978797083123688,0.621503802611423,1
0.2727685672459174,0.216942013694245,0.2359982098251402,0.1305183785718561,0.8244678294849804,0
0.6826178427903434,0.4734561246612956,0.23514657553238,0.1073377739473503,0.2354476349889692,0
0.1275686008657387,0.6842416202900289,0.8247798451232464,0.3750845831480442,0.1949786519611298,1
0.4913440274928661,0.4310615531802138,0.3947653376809306,0.0033409531289958,0.5751930061276822,0
0.3846452281769348,0.940724184406448,0.0750290525543437,0.0606631285440044,0.70370899657047,0
0.6520243473045899,0.0905166324599173,0.545759445467893,0.4962344592391128,0.5069057171831779,0
0.7198118849822093,0.4354608940792936,0.094351966750162,0.4272203260377766,0.7038776769771046,0
0.9918989735523556,0.3663947430492155,0.4687718315101664,0.0225899477058307,0.3292855023024779,0
0.9162995967627928,0.2459863065964977,0.8463217774731479,0.1709659377254339,0.7624154428971868,1
0.3901003469772445,0.6031219960846311,0.6657757713277466,0.3494660444358021,0.2923629087278659,1
0.9931505501301948,0.6651437542952202,0.4516645372416261,0.9084521116548708,0.2247910526957468,1
0.278097067646051,0.2785687496751561,0.7235626059530246,0.4972533565711382,0.5147092068619845,0
0.4789433005177747,0.693636441920824,0.0794679560638729,0.0392734437600545,0.4809873462667898,0
0.3837395657884499,0.04052191445383,0.6345808551103704,0.0109262299742212,0.9118514013763808,0
0.4371296920205184,0.9597400177511632,0.3106231004345248,0.6871724129180261,0.4337739662789992,1
0.6644594895911006,0.8584738522240509,0.0507666601545864,0.0890473365476964,0.3038193601909722,0
0.7485355999998923,0.230041349950853,0.0329452963848032,0.1284526169084456,0.6918274125876241,0
0.0940726910527136,0.4173924780376944,0.8181694406928463,0.5104584569637979,0.067544494556087,0
0.4115890899829129,0.419966008829936,0.6169159053897847,0.5352678617869338,0.914217467741086,0
0.625245729622094,0.3810617349175296,0.862958828868678,0.8057628647989398,0.0889447732686645,1
0.7716560383093826,0.3924398315300613,0.8955889595095663,0.9143783431347668,0.9396819091794186,1
0.7733494291189509,0.8909910089540122,0.5170171720378591,0.7756177234304543,0.1104632630845022,1
0.5164137529243189,0.2477692704809835,0.7352629080554628,0.935614229478996,0.3686457214524703,1
0.0725059127801147,0.6633817085221946,0.700945649093539,0.3044286164091467,0.4083355887749897,0
0.7341501749228059,0.924700709471687,0.4971086217353662,0.9111309217820398,0.4087383340294523,1
0.3358863802444584,0.8694243910324985,0.2408271785297523,0.5919725092747006,0.9249193679310652,0
0.8668993232210287,0.8923129709453258,0.9402016765897586,0.6799828989510304,0.4242704721749601,1
0.4562673801701937,0.8832458773557612,0.253100520359197,0.8920751372223982,0.1558022263912991,1
0.2568236399328999,0.6412325141792075,0.2321710080395806,0.7608139622757715,0.8071951456182136,0
0.335880142812317,0.0376132773517666,0.6874909427556759,0.4535718856742494,0.9018749869057808,1
